calle;X;Y;;
HUMANISTA MARINER;39.46036752829380;-0.393783512782261;;
CAMPOAMOR;39.47269097218790;-0.353275366116218;;
BURJASOT;39.48523665923830;-0.385568359806152;;
MALVARROSA;39.47885596200440;-0.327989462576913;;
TURIA;39.47761243083560;-0.385438491820262;;
ARTES Y OFICIOS;39.46781942178650;-0.352285186371723;;
MONESTIR DE POBLET;39.48551882833970;-0.393349938813852;;
SAN CLEMENTE;39.49018907345650;-0.402368815961710;;
PRINCIPAL;39.43026389249110;-0.363382178631249;;
INDUSTRIA;39.46352671222220;-0.343890188951553;;
QUART;39.47607223671280;-0.382056258016624;;
BRASIL;39.47204216924690;-0.399238077402113;;
SAN IGNACIO DE LOYOLA;39.47328165603920;-0.390468945316154;;
POETA QUEROL;39.47131712966050;-0.374177261132111;;
ARQUITECTO RODRIGUEZ;39.49391630621540;-0.369194502121119;;
FELIP MARIA GARIN;39.46816343222800;-0.359496210125301;;
AUSIAS MARCH;39.45312708633570;-0.373450944923152;;
MARQUES DEL TURIA;39.46782425581220;-0.367011022827989;;
PADRE VICAS;39.49414015089200;-0.370571708619207;;
JOSE MARIA HARO (MAGISTRAT);39.47185025977540;-0.337833551062093;;
HEROE ROMEU;39.46924635527050;-0.388477756558998;;
CALVO ACACIO;39.45338984627030;-0.391542529627415;;
RODRIGUEZ DE CEPEDA;39.46850135531110;-0.352839467038686;;
LINARES;39.46826901758240;-0.395030670314359;;
CASTELL DE POP;39.44818273276520;-0.333769314948202;;
AMADO GRANELL MESADO (MILITAR);39.45793135340180;-0.363967409813874;;
ALCOY;39.46453705080540;-0.377194313745858;;
DOCTOR WAKSMAN;39.45539495287070;-0.369308711774859;;
MALAGA;39.48465179358680;-0.382500415799409;;
VICENTE BRULL;39.46692753579860;-0.332355840876158;;
DOCTOR VICENTE ZARAGOZA;39.48408429528990;-0.360147397736079;;
FRANCISCO DE BELLVIS;39.46474495188900;-0.340278322889781;;
ANGEL GUIMERA;39.47028006818490;-0.385640449661160;;
DEMOCRACIA;39.47354202841180;-0.400117277344945;;
GUILLEM DE ANGLESOLA;39.46422402413800;-0.346202873566963;;
MALVARROSA;39.48108467740040;-0.327979047325559;;
SAN FRANCISCO DE BORJA;39.46604778942040;-0.385154659510303;;
BAILEN;39.46558809256660;-0.378527606915096;;
RAMON LLULL;39.47799221878390;-0.346347596507386;;
MU-IZ Y H. DE ALBA;39.46451195478130;-0.347166109448059;;
JOSE SOTO MICO;39.43964966279050;-0.389148328446245;;
HONORATO JUAN;39.46479298252190;-0.386627098043245;;
RODRIGO DE PERTEGAS;39.46134778622030;-0.342973727479054;;
PUERTO RICO;39.46087249274180;-0.376740064369692;;
AYORA;39.46445008975860;-0.393676766222853;;
ALBACETE;39.46410976073510;-0.383335177510265;;
FELIPE VALLS;39.50302512018140;-0.419886500593391;;
DEMOCRACIA;39.47414385210070;-0.395621180235635;;
SAN JOSE DE CALASANZ;39.46695615927110;-0.389395901728761;;
SAN VICENTE MARTIR;39.46291556832240;-0.382258593476496;;
ALFAHUIR;39.48883697750370;-0.366337585771793;;
MAESTRO GOZALBO;39.46570675029940;-0.369562296409081;;
DOCTOR PESET CERVERA;39.47472970061810;-0.386784862198088;;
MAESTRO ESTEBAN CATALA;39.48195327493080;-0.360720143486160;;
TOTANA;39.46973356336590;-0.394580141799572;;
ARCHIDUQUE CARLOS;39.46126717242000;-0.398796102262776;;
JUAN XXIII;39.49208211802020;-0.382618255878229;;
PECHINA;39.47913545130590;-0.385328063238950;;
GOYA;39.47333089706240;-0.398274045080405;;
FRANCISCO CLIMENT;39.45536126604360;-0.386685182269706;;
LUIS GARCIA-BERLANGA MARTI (DIRECTOR CINEMA);39.45587141093020;-0.345780396211525;;
CIUDAD DE BRUJAS;39.47304117292970;-0.379532176181109;;
AMADO GRANELL MESADO (MILITAR);39.45908605131330;-0.364783959228971;;
BERNIA;39.45427682686160;-0.372799643522542;;
CUENCA;39.46482311741840;-0.387896186278769;;
PERIS BRELL;39.46467100917170;-0.347737039399650;;
ACTOR LLORENS;39.46695635916520;-0.355341273496006;;
SANTANDER;39.45432194796770;-0.389418859807829;;
MADERAS;39.46219031549570;-0.339411828426501;;
NOGUERA;39.46242422470950;-0.341652853567551;;
ABEN AL ABBAR;39.46622962268150;-0.352982611282475;;
PEREZ GALDOS;39.47040808446760;-0.392467133792087;;
REGNE DE VALENCIA;39.46393608260530;-0.368260782974196;;
GUILLEM DE ANGLESOLA;39.46415412504300;-0.346050987761368;;
VEINTICINCO DE ABRIL;39.47044576938670;-0.398268535489168;;
DOCTOR VICENTE ZARAGOZA;39.48368072065240;-0.358184040894378;;
ALAMO;39.49186223952100;-0.390915142668952;;
TAMARINDOS;39.47823296740250;-0.402317552660892;;
POETA ALTET;39.48665966587020;-0.364174967375836;;
ALCALDE ALBORS;39.47240441212020;-0.395400144837221;;
MIGUEL SERVET;39.48807360947890;-0.393923181314523;;
SAN JOSE DE PIGNATELLI;39.49119584667590;-0.383868094777396;;
LLANERA DE RANES;39.45412055173320;-0.390862573857532;;
ALMUDAINA;39.45359420599280;-0.382939087652393;;
BELLO;39.46040064853330;-0.334834304476885;;
ALQUERIA DE LA ESTRELLA;39.48535718175270;-0.382963580603009;;
ZAPADORES;39.45769753703540;-0.368277168289093;;
SAN COLUMBANO;39.48927181740110;-0.357789203231217;;
PELAYO;39.46404054436980;-0.379844019014498;;
JOSE GROLLO;39.49454185936230;-0.394458949072327;;
ACTOR LLORENS;39.46967108959700;-0.354097013252768;;
DUQUE DE MANDAS;39.49114196872690;-0.366096390462698;;
DOCTOR ROYO VILANOVA;39.44372119637640;-0.391590433188068;;
RIBERA;39.46739756415470;-0.375992380033440;;
OEST;39.47068987051400;-0.379581863426982;;
PINTOR STOLZ;39.46979072030580;-0.401108262013999;;
DOCTOR ZAMENHOF;39.47455620635870;-0.394872517762014;;
DOCTOR ZAMENHOF;39.47579768321830;-0.391945762479657;;
HERMANOS VILLALONGA;39.48562322239870;-0.357061247572852;;
ALBORAYA;39.48272678521130;-0.370304725778433;;
ENRIQUE NAVARRO;39.48492465215440;-0.358576468517570;;
PADRE SIMO;39.50388553996390;-0.423357703851405;;
LEANDRO DE SARALEGUI;39.47514573755100;-0.348382975373599;;
ARTURO PIERA;39.47020765430220;-0.394485384550458;;
EMILIO BARO;39.49133405187080;-0.359165328265793;;
CONCHITA PIQUER;39.48688320644020;-0.391775951045389;;
CAMP DE TURIA;39.49576900576460;-0.400418989843000;;
POETA MAS Y ROS;39.47033447477760;-0.347804545369520;;
JOSE BALLESTER GOZALVO;39.47687553630840;-0.324671077017133;;
LEONES;39.46867585065080;-0.347237213760276;;
