id;latitud_gps;longitud_gps;random
3353;39.465;-0.379;0.898925562
2088;39.453;-0.376;0.702086771
10706;39.465;-0.347;0.675479322
2340;39.454;-0.376;0.825487532
7790;39.449;-0.392;0.500904513
3159;39.459;-0.388;0.36467475
9011;39.493;-0.372;0.092836436
3218;39.46;-0.387;0.496299244
10394;39.472;-0.353;0.704209199
4511;39.481;-0.361;0.203681078
13032;39.473;-0.419;0.271600855
6754;39.493;-0.402;0.23483743
8600;39.468;-0.401;0.000721997
8413;39.469;-0.401;0.206918629
1878;39.468;-0.364;0.684885543
8063;39.468;-0.391;0.143447532
12827;39.503;-0.426;0.626908363
9018;39.495;-0.372;0.230100243
4903;39.485;-0.37;0.863612866
7367;39.506;-0.362;0.968652733
6389;39.47;-0.414;0.892814712
8438;39.464;-0.393;0.604805471
4671;39.477;-0.358;0.504862142
2116;39.464;-0.387;0.668132015
1391;39.47;-0.365;0.270963534
388;39.47;-0.375;0.339951132
11989;39.491;-0.382;0.168839745
10631;39.469;-0.338;0.319927357
6752;39.479;-0.401;0.951423586
3616;39.476;-0.391;0.217855186
2081;39.459;-0.374;0.768664488
1304;39.469;-0.366;0.075367931
8004;39.469;-0.394;0.874595999
13311;39.48;-0.419;0.740183732
12467;39.449;-0.38;0.037950263
10277;39.467;-0.356;0.574505324
4804;39.482;-0.372;0.475470821
9896;39.468;-0.353;0.013648091
9170;39.502;-0.369;0.142252986
2992;39.458;-0.385;0.110892972
11739;39.457;-0.349;0.011838851
5264;39.478;-0.327;0.459852624
10087;39.47;-0.349;0.37379982
563;39.469;-0.378;0.627465996
6317;39.472;-0.407;0.389495195
12408;39.449;-0.379;0.274268609
2411;39.459;-0.37;0.98626894
1167;39.467;-0.369;0.571709639
9024;39.498;-0.37;0.144253293
3429;39.475;-0.389;0.018824611
10441;39.462;-0.354;0.3212059
1581;39.463;-0.365;0.387257991
10845;39.473;-0.335;0.412237624
2308;39.455;-0.38;0.003452415
2235;39.459;-0.371;0.472300462
4958;39.481;-0.365;0.037467563
8335;39.465;-0.392;0.695614165
2978;39.459;-0.386;0.569730344
3959;39.487;-0.373;0.654761388
3846;39.484;-0.383;0.170592411
10984;39.473;-0.345;0.97092004
6966;39.477;-0.398;0.373124145
9599;39.479;-0.357;0.824782392
6950;39.494;-0.395;0.180533172
12085;39.493;-0.389;0.970184635
11607;39.463;-0.35;0.402652941
2390;39.463;-0.373;0.698360657
3674;39.471;-0.388;0.965950175
11640;39.455;-0.345;0.158898331
3629;39.467;-0.389;0.457779165
11930;39.429;-0.333;0.143955232
